Subject,Time,Percept,Repetition,DurSec,DurProp,Condition
S1,before,DE,1,22.5779,0.1262,Dark
S1,before,Mixed,1,132.1075,0.7383,Dark
S1,before,NDE,1,24.2556,0.1356,Dark
S1,before,DE,2,17.926,0.1,Dark
S1,before,Mixed,2,142.9753,0.7973,Dark
S1,before,NDE,2,18.4229,0.1027,Dark
S1,after,DE,1,13.963,0.0779,Dark
S1,after,Mixed,1,153.0801,0.8543,Dark
S1,after,NDE,1,12.1448,0.0678,Dark
S1,after,DE,2,9.4647,0.0528,Dark
S1,after,Mixed,2,160.0528,0.893,Dark
S1,after,NDE,2,9.7188,0.0542,Dark
S2,before,DE,1,83.9504,0.4691,Dark
S2,before,Mixed,1,18.7536,0.1048,Dark
S2,before,NDE,1,76.2455,0.4261,Dark
S2,before,DE,2,83.4995,0.4657,Dark
S2,before,Mixed,2,24.9417,0.1391,Dark
S2,before,NDE,2,70.8433,0.3951,Dark
S2,after,DE,1,45.5798,0.2543,Dark
S2,after,Mixed,1,84.8819,0.4736,Dark
S2,after,NDE,1,48.7469,0.272,Dark
S2,after,DE,2,48.3615,0.2696,Dark
S2,after,Mixed,2,113.3975,0.6321,Dark
S2,after,NDE,2,17.6411,0.0983,Dark
S3,before,DE,1,64.1222,0.3593,Dark
S3,before,Mixed,1,86.4668,0.4845,Dark
S3,before,NDE,1,27.8764,0.1562,Dark
S3,before,DE,2,41.6721,0.233,Dark
S3,before,Mixed,2,103.1117,0.5764,Dark
S3,before,NDE,2,34.0921,0.1906,Dark
S3,after,DE,1,48.8215,0.2729,Dark
S3,after,Mixed,1,89.2324,0.4988,Dark
S3,after,NDE,1,40.8554,0.2284,Dark
S3,after,DE,2,55.6209,0.3113,Dark
S3,after,Mixed,2,88.457,0.495,Dark
S3,after,NDE,2,34.6212,0.1937,Dark
S4,before,DE,1,42.0835,0.2354,Dark
S4,before,Mixed,1,87.8153,0.4912,Dark
S4,before,NDE,1,48.8923,0.2735,Dark
S4,before,DE,2,47.5383,0.2656,Dark
S4,before,Mixed,2,83.162,0.4646,Dark
S4,before,NDE,2,48.3052,0.2699,Dark
S4,after,DE,1,43.5707,0.243,Dark
S4,after,Mixed,1,95.5548,0.5329,Dark
S4,after,NDE,1,40.1769,0.2241,Dark
S4,after,DE,2,64.0851,0.3581,Dark
S4,after,Mixed,2,60.9945,0.3409,Dark
S4,after,NDE,2,53.8629,0.301,Dark
S5,before,DE,1,72.0369,0.4002,Dark
S5,before,Mixed,1,39.2404,0.218,Dark
S5,before,NDE,1,68.72,0.3818,Dark
S5,before,DE,2,64.5264,0.3585,Dark
S5,before,Mixed,2,53.3324,0.2963,Dark
S5,before,NDE,2,62.137,0.3452,Dark
S5,after,DE,1,64.501,0.3583,Dark
S5,after,Mixed,1,74.1207,0.4118,Dark
S5,after,NDE,1,41.3737,0.2299,Dark
S5,after,DE,2,54.2086,0.3012,Dark
S5,after,Mixed,2,75.5733,0.4199,Dark
S5,after,NDE,2,50.2142,0.279,Dark
S6,before,DE,1,69.6313,0.3914,Dark
S6,before,Mixed,1,51.7647,0.291,Dark
S6,before,NDE,1,56.5168,0.3177,Dark
S6,before,DE,2,57.69,0.3239,Dark
S6,before,Mixed,2,70.8309,0.3977,Dark
S6,before,NDE,2,49.5799,0.2784,Dark
S6,after,DE,1,61.2364,0.3424,Dark
S6,after,Mixed,1,74.4391,0.4162,Dark
S6,after,NDE,1,43.1946,0.2415,Dark
S6,after,DE,2,51.5431,0.2889,Dark
S6,after,Mixed,2,54.4413,0.3051,Dark
S6,after,NDE,2,72.4541,0.406,Dark
S7,before,DE,1,82.603,0.4633,Dark
S7,before,Mixed,1,21.5036,0.1206,Dark
S7,before,NDE,1,74.2034,0.4161,Dark
S7,before,DE,2,71.6375,0.4,Dark
S7,before,Mixed,2,36.504,0.2038,Dark
S7,before,NDE,2,70.9616,0.3962,Dark
S7,after,DE,1,63.7441,0.3557,Dark
S7,after,Mixed,1,59.2523,0.3306,Dark
S7,after,NDE,1,56.2263,0.3137,Dark
S7,after,DE,2,49.1068,0.2744,Dark
S7,after,Mixed,2,82.5328,0.4612,Dark
S7,after,NDE,2,47.3207,0.2644,Dark
S8,before,DE,1,62.4069,0.3514,Dark
S8,before,Mixed,1,64.2198,0.3616,Dark
S8,before,NDE,1,50.9913,0.2871,Dark
S8,before,DE,2,76.7917,0.4266,Dark
S8,before,Mixed,2,51.5111,0.2862,Dark
S8,before,NDE,2,51.6933,0.2872,Dark
S8,after,DE,1,63.3389,0.3519,Dark
S8,after,Mixed,1,82.4945,0.4583,Dark
S8,after,NDE,1,34.1629,0.1898,Dark
S8,after,DE,2,59.6264,0.3309,Dark
S8,after,Mixed,2,85.2233,0.473,Dark
S8,after,NDE,2,35.3439,0.1961,Dark
